,RMSE_mean,RMSE_std,NJD_mean,NJD_std
0,0.037618082,0.007229086,2060.3555,19.946169
1,0.059394136,0.011605386,2050.5222,26.25126
2,0.07786951,0.014497851,2039.5778,41.87997
3,0.08951702,0.016953805,2037.3889,47.299355
4,0.084285535,0.01774281,2039.4889,48.0735
5,0.06937124,0.017636264,2032.2333,36.352535
6,0.052412137,0.013999681,2035.8667,24.58199
7,0.044586923,0.010081948,2042.3667,19.971018
8,0.041153222,0.009790864,2038.1444,18.85817
